state_name,party,name,twitter_handle
Alabama,republican,Kay Ivey,GovernorKayIvey
Alaska,republican,Mike Dunleavy,GovDunleavy/
Arizona,republican,Douglas Ducey,St,https://www.facebook.com/dougducey,dougducey,https://twitter.com/dougducey,https://cdn.civil.services/us-governors/headshots/512x512/douglas-ducey.jpg
California,democrat,Gavin Newsom,GavinNewsom
Arkansas,republican,Asa Hutchinson,AsaHutchinson
Colorado,democrat,Jared Polis,jaredpolis
Connecticut,democrat,Edward Lamont,GovNedLamont
Delaware,democrat,John Carney,johncarneyde
Florida,republican,Ronald DeSantis,rondesantisfl
Georgia,republican,Nathan Deal,GovernorDeal
Hawaii,democrat,David Ige,GovHawaii
Idaho,republican,Brad Little,GovernorLittle
Illinois,democrat,J.B. Pritzker,jbpritzker
Indiana,republican,Eric Holcomb,GovHolcomb
Iowa,republican,Kimberly Reynolds,kimreynoldsia
Kansas,democrat,Laura Kelly,senatorkelly
Kentucky,democrat,Andy Beshear,http://governor.ky.gov/pages/contact.aspx,https://twitter.com/AndyBeshearKY,https://cdn.civil.services/us-governors/headshots/512x512/matthew-bevin.jpg
Louisiana,democrat,John Edwards,louisianagov
Maine,republican,Janet Mills,JanetMillsforME
Maryland,republican,Lawrence Hogan,http://governor.maryland.gov/,LarryHogan,https://twitter.com/LarryHogan,https://cdn.civil.services/us-governors/headshots/512x512/lawrence-hogan.jpg
Massachusetts,republican,Charles Baker,,http://www.mass.gov/governor/constituent-services/contact-governor-office/,https://www.facebook.com/CharlieBakerMA,massgovernor,https://twitter.com/massgovernor,https://cdn.civil.services/us-governors/headshots/512x512/charles-baker.jpg
Michigan,democrat,Gretchen Whitmer,gretchenwhitmer
Minnesota,democrat,Tim Walz,GovTimWalz
Mississippi,republican,Dewey Bryant,https://www.facebook.com/im4phil,https://cdn.civil.services/us-governors/headshots/512x512/dewey-bryant.jpg
Missouri,republican,Michael Parson,mikeparson
Montana,democrat,Stephen Bullock,GovernorBullock
Nebraska,republican,John Ricketts,GovRicketts
Nevada,democrat,Steve Sisolak,stevesisolak
New Hampshire,republican,Christopher Sununu,St,https://www.facebook.com/GovernorChrisSununu,GovChrisSununu,https://twitter.com/GovChrisSununu,https://cdn.civil.services/us-governors/headshots/512x512/christopher-sununu.jpg
New Jersey,democrat,Philip Murphy,philmurphynj
New Mexico,democrat,Michelle Lujan Grisham,michelle4nm
New York,democrat,Andrew Cuomo,nygovcuomo
North Carolina,democrat,Roy Cooper,NC_Governor
North Dakota,republican,Douglas Burgum,DougBurgum
Ohio,republican,Michael DeWine,mikedewine?lang=en
Oklahoma,republican,Kevin Stitt,StittforGov
Oregon,democrat,Katherine Brown,,https://www.facebook.com/oregongovernor,OregonGovBrown,https://twitter.com/OregonGovBrown,https://cdn.civil.services/us-governors/headshots/512x512/katherine-brown.jpg
Pennsylvania,democrat,Thomas Wolf,17120,https://www.governor.pa.gov/contact/,https://www.facebook.com/governorwolf,governortomwolf,https://twitter.com/governortomwolf,https://cdn.civil.services/us-governors/headshots/512x512/thomas-wolf.jpg
Rhode Island,democrat,Gina Raimondo,ginaraimondo
South Carolina,republican,Henry McMaster,SCGOVOFFICE
South Dakota,republican,Kristi Noem,kristinoem
Tennessee,republican,Bill Lee,billleetn
Texas,republican,Gregory Abbott,http://gov.texas.gov/,TexGov,https://twitter.com/TexGov,https://cdn.civil.services/us-governors/headshots/512x512/gregory-abbott.jpg
Utah,republican,Gary Herbert,governorherbert
Vermont,republican,Philip Scott,St,https://www.facebook.com/GovPhilScott,GovPhilScott,https://twitter.com/GovPhilScott,https://cdn.civil.services/us-governors/headshots/512x512/philip-scott.jpg
Virginia,democrat,Ralph Northam,ralphnortham
Washington,democrat,Jay Inslee,jayinslee
West Virginia,democrat,James Justice,,,http://www.governor.wv.gov/Pages/default.aspx,http://www.governor.wv.gov/Pages/SubmitaCommenttotheGovernor.aspx,https://www.facebook.com/WVGovernor,WVGovernor,https://twitter.com/WVGovernor,https://cdn.civil.services/us-governors/headshots/512x512/james-justice.jpg
Wisconsin,democrat,Tony Evers,tony4wi
Wyoming,republican,Mark Gordon,mark_gordon_wy
