state_name,party,name,official_twitter,personal_twitter
California,democrat,Gavin Newsom,Cagovernor,GavinNewsom
Colorado,democrat,Jared Polis,GovofCO,jaredpolis
Connecticut,democrat,Edward Lamont,GovNedLamont,NedLamont
Delaware,democrat,John Carney,delaware_gov,johncarneyde
Hawaii,democrat,David Ige,GovHawaii,
Illinois,democrat,J.B. Pritzker,GovPritzker,jbpritzker
Kansas,democrat,Laura Kelly,GovLauraKelly,LauraKellyKS
Kentucky,democrat,Andy Beshear,GovAndyBeshear,AndyBeshearKY
Louisiana,democrat,John Edwards,louisianagov,JohnBelforLA
Maine,democrat,Janet Mills,GovJanetMills,
Michigan,democrat,Gretchen Whitmer,GovWhitmer,gretchenwhitmer
Minnesota,democrat,Tim Walz,GovTimWalz,Tim_Walz
Montana,democrat,Stephen Bullock,GovernorBullock,montanagovernor
Nevada,democrat,Steve Sisolak,GovSisolak,stevesisolak
New Jersey,democrat,Philip Murphy,GovMurphy,philmurphynj
New Mexico,democrat,Michelle Lujan Grisham,GovMLG,michelle4nm
New York,democrat,Andrew Cuomo,nygovcuomo,andrewcuomo
North Carolina,democrat,Roy Cooper,NC_Governor,RoyCooperNC
Oregon,democrat,Katherine Brown,OregonGovBrown,KateBrownForOR
Pennsylvania,democrat,Thomas Wolf,GovernorsOffice,governortomwolf
Rhode Island,democrat,Gina Raimondo,GovRaimondo,ginaraimondo
Virginia,democrat,Ralph Northam,GovernorVA,ralphnortham
Washington,democrat,Jay Inslee,GovInslee,jayinslee
Wisconsin,democrat,Tony Evers,GovEvers,Tony4WI
