state_name,party,name,official_twitter,personal_twitter
Alabama,republican,Kay Ivey,GovernorKayIvey,kayiveyforgov
Alaska,republican,Mike Dunleavy,MikeDunleavyGov,GovDunleavy
Arizona,republican,Douglas Ducey,9thFloorAZ,dougducey
California,democrat,Gavin Newsom,Cagovernor,GavinNewsom
Arkansas,republican,Asa Hutchinson,AsaHutchinson,
Colorado,democrat,Jared Polis,GovofCO,jaredpolis
Connecticut,democrat,Edward Lamont,GovNedLamont,NedLamont
Delaware,democrat,John Carney,delaware_gov,johncarneyde
Florida,republican,Ronald DeSantis,GovRonDeSantis,rondesantisfl
Georgia,republican,Brian P. Kemp,GovKemp,BrianKempGA
Hawaii,democrat,David Ige,GovHawaii,
Idaho,republican,Brad Little,GovernorLittle,
Illinois,democrat,J.B. Pritzker,GovPritzker,jbpritzker
Indiana,republican,Eric Holcomb,GovHolcomb,HolcombForIN
Iowa,republican,Kimberly Reynolds,IAGovernor,kimreynoldsia
Kansas,democrat,Laura Kelly,GovLauraKelly,LauraKellyKS
Kentucky,democrat,Andy Beshear,GovAndyBeshear,AndyBeshearKY
Louisiana,democrat,John Edwards,louisianagov,JohnBelforLA
Maine,democrat,Janet Mills,GovJanetMills,
Maryland,republican,Lawrence Hogan,GovLarryHogan,LarryHogan
Massachusetts,republican,Charles Baker,massgovernor,CharlieBakerMA
Michigan,democrat,Gretchen Whitmer,GovWhitmer,gretchenwhitmer
Minnesota,democrat,Tim Walz,GovTimWalz,Tim_Walz
Mississippi,republican,Tate Reeves,,tatereeves
Missouri,republican,Michael Parson,GovParsonMO,mikeparson
Montana,democrat,Stephen Bullock,GovernorBullock,montanagovernor
Nebraska,republican,John Ricketts,NEGovOffice,GovRicketts
Nevada,democrat,Steve Sisolak,GovSisolak,stevesisolak
New Hampshire,republican,Christopher Sununu,GovChrisSununu,ChrisSununu
New Jersey,democrat,Philip Murphy,GovMurphy,philmurphynj
New Mexico,democrat,Michelle Lujan Grisham,GovMLG,michelle4nm
New York,democrat,Andrew Cuomo,nygovcuomo,andrewcuomo
North Carolina,democrat,Roy Cooper,NC_Governor,RoyCooperNC
North Dakota,republican,Douglas Burgum,DougBurgum,DougForDakota
Ohio,republican,Michael DeWine,GovMikeDeWine,mikedewine
Oklahoma,republican,Kevin Stitt,GovStitt,
Oregon,democrat,Katherine Brown,OregonGovBrown,KateBrownForOR
Pennsylvania,democrat,Thomas Wolf,GovernorsOffice,governortomwolf
Rhode Island,democrat,Gina Raimondo,GovRaimondo,ginaraimondo
South Carolina,republican,Henry McMaster,scgovernorpress,henrymcmaster
South Dakota,republican,Kristi Noem,GovKristiNoem,kristinoem
Tennessee,republican,Bill Lee,GovBillLee,BillLeeTN
Texas,republican,Gregory Abbott,GovAbbott,GregAbbott_TX
Utah,republican,Gary Herbert,GovHerbert,HerbertForUtah
Vermont,republican,Philip Scott,GovPhilScott,PhilScott4VT
Virginia,democrat,Ralph Northam,GovernorVA,ralphnortham
Washington,democrat,Jay Inslee,GovInslee,jayinslee
West Virginia,republican,James Justice,WVGovernor,JimJusticeWV
Wisconsin,democrat,Tony Evers,GovEvers,Tony4WI
Wyoming,republican,Mark Gordon,GovernorGordon,Mark_Gordon_WY
